chrom,pos,ref_len,alt_len,sv_size,p0,beta,z_emp,p_perm,stat,gene,gene_name,n_genes,genes_all,flower_locus
Chr1,21608827,2330,832,1498,0.0042075,0.0804849,3.5639062,2.2587981e-05,scoef,AT1G58260,AT1G58260,3,AT1G58260;AT1G58265;AT1G58270,
Chr4,7006453,1,304,303,0.16056626,0.18255106,3.5625863,2.274424e-05,scoef,AT4G11570,AT4G11570,2,AT4G11570;AT4G11580,
Chr1,23227177,2,1776,1774,0.004475,0.08198668,3.55996,2.3094373e-05,scoef,AT1G62710,AT1G62710,3,AT1G62710;AT1G62720;AT1G62730,
Chr1,13368916,1,960,959,0.00384,0.078443594,3.5589485,2.3230377e-05,scoef,,,0,,
Chr1,19763050,1,1666,1665,0.0070675,0.16813809,3.557793,2.343872e-05,scoef,AT1G53030,AT1G53030,4,AT1G53030;AT1G53035;AT1G53039;AT1G53040,
Chr5,17986410,444,1,443,0.02873,0.2585982,3.5563793,2.3652852e-05,scoef,AT5G44585,AT5G44585,2,AT5G44585;AT5G44590,
Chr5,17987117,1,118,117,0.02873,0.2585982,3.5563793,2.3652852e-05,scoef,AT5G44585,AT5G44585,2,AT5G44585;AT5G44590,
Chr4,9015400,1,155,154,0.00285125,0.09039372,3.5559568,2.3722301e-05,scoef,AT4G15880,AT4G15880,2,AT4G15880;AT4G15885,
Chr3,16888198,1,4807,4806,0.038855,-0.1575338,-3.5556526,2.3751238e-05,scoef,AT3G45940,AT3G45940,2,AT3G45940;AT3G45950,
Chr1,13211366,9252,15687,6435,0.00440625,0.09237443,3.555637,2.375413e-05,scoef,AT1G35680,AT1G35680,2,AT1G35680;AT1G35710,
Chr1,11778989,117,1,116,0.00972875,0.14319663,3.553575,2.4060859e-05,scoef,AT1G32570,AT1G32570,1,AT1G32570,
Chr4,5106590,901,1,900,0.0081275,0.13210784,3.55258,2.4205543e-05,scoef,,,0,,
Chr3,23299264,1,813,812,0.00386375,0.11536378,3.549334,2.4717723e-05,scoef,AT3G63050,AT3G63050,3,AT3G63050;AT3G63052;AT3G63060,
Chr5,10741436,548,9673,9125,0.0056025,0.069116674,3.5426602,2.5849147e-05,scoef,,,0,,
Chr5,25448398,1,2066,2065,0.00614375,0.086648054,3.5420997,2.5941745e-05,scoef,AT5G63550,AT5G63550,2,AT5G63550;AT5G63560,
Chr5,8732540,1,641,640,0.00674875,0.10095824,3.54173,2.5996724e-05,scoef,,,0,,
Chr1,6473462,4591,991,3600,0.00484,0.10997566,3.540809,2.6141408e-05,scoef,AT1G18760,AT1G18760,5,AT1G18760;AT1G18770;AT1G18773;AT1G18780;AT1G18790,
Chr5,25456458,1,902,901,0.006245,0.08781377,3.5397367,2.6312135e-05,scoef,AT5G63580,AT5G63580,2,AT5G63580;AT5G63590,
Chr4,13402111,1,1147,1146,0.00574875,0.10904483,3.5380497,2.661597e-05,scoef,AT4G26550,AT4G26550,1,AT4G26550,
Chr2,13580071,1,62,61,0.0009575,0.0637972,3.5350513,2.7105e-05,scoef,AT2G31930,AT2G31930,3,AT2G31930;AT2G31940;AT2G31945,
Chr5,12496503,2,17322,17320,0.0051675,0.059480984,3.5335324,2.735675e-05,scoef,,,0,,
Chr5,12441175,1,3797,3796,0.00517625,0.059570875,3.5330808,2.7431985e-05,scoef,,,0,,
Chr5,17061054,1,119,118,0.00698375,0.09846254,3.53161,2.7666372e-05,scoef,AT5G42610,AT5G42610,1,AT5G42610,
Chr5,17061120,1,643,642,0.00698375,0.09846254,3.53161,2.7666372e-05,scoef,AT5G42610,AT5G42610,1,AT5G42610,
Chr5,9153081,1,372,371,0.0062,0.08761089,3.5309436,2.7756076e-05,scoef,AT5G26180,AT5G26180,2,AT5G26180;AT5G26190,
Chr5,25535894,1,166,165,0.00665,0.09587994,3.5300276,2.7929695e-05,scoef,AT5G63800,AT5G63800,2,AT5G63800;AT5G63810,
Chr3,10884462,542,1,541,0.00462,0.12195426,3.5298917,2.7944163e-05,scoef,,,0,,
Chr3,10885008,9802,414,9388,0.00462,0.12195426,3.5298917,2.7944163e-05,scoef,AT3G28870,AT3G28870,3,AT3G28870;AT3G28880;AT3G28890,
Chr4,13523464,1,653,652,0.0058225,0.113009416,3.529884,2.7944163e-05,scoef,AT4G26910,AT4G26910,2,AT4G26910;AT4G26920,
Chr5,5706303,181,1,180,0.0061475,0.090333916,3.5286126,2.8166976e-05,scoef,AT5G17320,AT5G17320,1,AT5G17320,
Chr5,992369,1,69,68,0.00713875,0.12295327,3.5271828,2.848528e-05,scoef,AT5G03760,AT5G03760,1,AT5G03760,
Chr5,24041795,1,5207,5206,0.01546875,0.27598235,3.5263793,2.8650218e-05,scoef,AT5G59660,AT5G59660,2,AT5G59660;AT5G59670,
Chr5,1215564,1,746,745,0.00634875,0.0880822,3.5249548,2.897431e-05,scoef,AT5G04330,AT5G04330,2,AT5G04330;AT5G04340,
Chr5,24045962,1,473,472,0.016365,0.2803889,3.5233805,2.9237633e-05,scoef,AT5G59670,AT5G59670,2,AT5G59670;AT5G59680,
Chr2,7109395,264,1383,1119,0.04078875,0.28772387,3.5226917,2.9359167e-05,scoef,AT2G16405,AT2G16405,1,AT2G16405,
Chr5,6080145,587,1,586,0.00614125,0.08639813,3.5224411,2.940836e-05,scoef,AT5G18350,AT5G18350,2,AT5G18350;AT5G18360,
Chr1,23754698,1,1030,1029,0.00402875,0.08396657,3.5207672,2.971509e-05,scoef,AT1G64030,AT1G64030,1,AT1G64030,
Chr3,9274132,1,615,614,0.0035575,0.11833157,3.5197773,2.9961051e-05,scoef,AT3G25530,AT3G25530,2,AT3G25530;AT3G25540,
Chr1,25359067,1,76,75,0.37807626,0.14990401,3.518584,3.0183865e-05,scoef,AT1G67650,AT1G67650,1,AT1G67650,
Chr5,5851395,415,1,414,0.00796625,0.09772847,3.51708,3.0502168e-05,scoef,AT5G17730,AT5G17730,1,AT5G17730,
Chr4,9798597,583,2,581,0.02118625,0.19657123,3.515687,3.079732e-05,scoef,AT4G17590,AT4G17590,1,AT4G17590,
Chr1,28258975,54,1,53,0.00417125,0.089433044,3.5154285,3.0855193e-05,scoef,AT1G75300,AT1G75300,2,AT1G75300;AT1G75310,
Chr5,5624066,1,2690,2689,0.00621375,0.08571785,3.5147486,3.1005668e-05,scoef,AT5G17090,AT5G17090,2,AT5G17090;AT5G17100,
Chr5,9576568,1,233,232,0.00617125,0.08570927,3.5129592,3.1358693e-05,scoef,,,0,,
Chr4,4880060,847,1,846,0.0073275,0.13272592,3.5125294,3.145129e-05,scoef,,,0,,
Chr5,12443642,1,752,751,0.005405,0.061905783,3.5103076,3.20416e-05,scoef,,,0,,
Chr3,9898692,1921,3,1918,0.003825,0.112989455,3.5096068,3.2180495e-05,scoef,AT3G26850,AT3G26850,3,AT3G26850;AT3G26855;AT3G26860,
Chr3,9898156,1,2199,2198,0.003825,0.112989455,3.5096068,3.2180495e-05,scoef,AT3G26840,AT3G26840,3,AT3G26840;AT3G26850;AT3G26855,
Chr3,9898158,483,1,482,0.003825,0.112989455,3.5096068,3.2180495e-05,scoef,AT3G26840,AT3G26840,3,AT3G26840;AT3G26850;AT3G26855,
Chr5,25471061,1,85,84,0.00666,0.09081795,3.5078206,3.2533524e-05,scoef,AT5G63630,AT5G63630,1,AT5G63630,
Chr1,17116036,1,4514,4513,0.00444125,0.083941005,3.507165,3.2669526e-05,scoef,AT1G45191,AT1G45191,1,AT1G45191,
Chr3,16281785,1,3141,3140,0.00389625,0.11219503,3.5066185,3.2779484e-05,scoef,,,0,,
Chr4,6020217,104,1,103,0.913005,0.16730972,3.5052629,3.3016768e-05,scoef,AT4G09500,AT4G09500,2,AT4G09500;AT4G09510,
Chr4,6020730,129,1,128,0.913005,0.16730972,3.5052629,3.3016768e-05,scoef,AT4G09500,AT4G09500,2,AT4G09500;AT4G09510,
Chr4,6021052,138,1,137,0.913005,0.16730972,3.5052629,3.3016768e-05,scoef,AT4G09500,AT4G09500,2,AT4G09500;AT4G09510,
Chr5,5010908,327,1,326,0.0064975,0.08700913,3.5038965,3.328009e-05,scoef,AT5G15420,AT5G15420,3,AT5G15420;AT5G15430;AT5G15440,
Chr1,16338729,1,318,317,0.0039775,0.07836301,3.5035017,3.3358217e-05,scoef,,,0,,
Chr3,16283042,1,181,180,0.00385875,0.112352505,3.5030177,3.3433455e-05,scoef,,,0,,
Chr4,7006090,340,45,295,0.26373374,0.17197567,3.5018017,3.3662054e-05,scoef,AT4G11570,AT4G11570,2,AT4G11570;AT4G11580,
Chr5,9789659,1,60,59,0.00607,0.08821801,3.5002632,3.3968783e-05,scoef,AT5G27650,AT5G27650,2,AT5G27650;AT5G27660,
Chr1,17268598,5221,5991,770,0.00425375,0.089297116,3.4998975,3.4064273e-05,scoef,AT1G46840,AT1G46840,3,AT1G46840;AT1G46912;AT1G46984,
Chr4,3170226,754,1,753,0.00582625,0.10478644,3.4994242,3.4159766e-05,scoef,,,0,,
Chr1,25425185,1,4024,4023,0.0438925,0.23299299,3.4993901,3.4159766e-05,scoef,AT1G67800,AT1G67800,2,AT1G67800;AT1G67810,
Chr4,9884860,1,664,663,0.005,0.08673003,3.4989786,3.425815e-05,scoef,AT4G17785,AT4G17785,1,AT4G17785,
Chr1,16178484,1,173,172,0.00061375,0.052586693,3.4979436,3.452726e-05,scoef,,,0,,
Chr5,10258681,1,553,552,0.01559875,0.14039725,3.4978518,3.4538836e-05,scoef,,,0,,
Chr5,24586631,427,3,424,0.00271375,0.10763193,3.4977207,3.459671e-05,scoef,AT5G61120,AT5G61120,2,AT5G61120;AT5G61130,
Chr5,21261295,3,73,70,0.0059975,0.082721345,3.4969485,3.475586e-05,scoef,AT5G52360,AT5G52360,3,AT5G52360;AT5G52370;AT5G52380,
Chr5,21293298,86,1,85,0.0059975,0.082662046,3.4968703,3.4781904e-05,scoef,AT5G52450,AT5G52450,3,AT5G52450;AT5G52460;AT5G52470,
Chr4,6008395,3849,1189,2660,0.0061275,0.10378717,3.4968543,3.4784796e-05,scoef,AT4G09467,AT4G09467,1,AT4G09467,
Chr4,5996776,153,1,152,0.0061275,0.10378717,3.4968543,3.4784796e-05,scoef,AT4G09462,AT4G09462,1,AT4G09462,
Chr3,15224140,1,101,100,0.059035,0.21344844,3.4967775,3.4790584e-05,scoef,AT3G43270,AT3G43270,1,AT3G43270,
Chr1,21937981,1,55,54,0.0044325,0.08273869,3.496337,3.486582e-05,scoef,AT1G59700,AT1G59700,3,AT1G59700;AT1G59710;AT1G59720,
Chr5,5419374,1,205,204,0.00599375,0.08305173,3.4959319,3.4993143e-05,scoef,AT5G16567,AT5G16567,1,AT5G16567,
Chr5,1916537,1,103,102,0.00598625,0.082996555,3.4953356,3.509442e-05,scoef,AT5G06280,AT5G06280,1,AT5G06280,
Chr1,11780827,1,390,389,0.01020375,0.13724202,3.4950824,3.5152294e-05,scoef,,,0,,
Chr3,18600177,1,695,694,0.02061625,0.13654122,3.4942918,3.532302e-05,scoef,AT3G50160,AT3G50160,2,AT3G50160;AT3G50170,
Chr4,13526680,612,6776,6164,0.00599,0.10617042,3.493825,3.5444555e-05,scoef,AT4G26920,AT4G26920,2,AT4G26920;AT4G26930,
Chr1,5702045,58,1,57,0.00420375,0.07463971,3.4916809,3.5916222e-05,scoef,AT1G16680,AT1G16680,1,AT1G16680,
Chr5,8173234,1,94,93,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G24150,AT5G24150,1,AT5G24150,
Chr5,1453575,1,4930,4929,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G04940,AT5G04940,1,AT5G04940,
Chr5,5011318,61,1,60,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G15430,AT5G15430,2,AT5G15430;AT5G15440,
Chr5,21265691,1,114,113,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G52390,AT5G52390,1,AT5G52390,
Chr5,9627234,1,805,804,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G27310,AT5G27310,2,AT5G27310;AT5G27320,
Chr5,25440136,1,1899,1898,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G63540,AT5G63540,1,AT5G63540,
Chr5,20991604,1,1157,1156,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G51670,AT5G51670,1,AT5G51670,
Chr5,21352235,1,122,121,0.005975,0.08268594,3.4915566,3.5950947e-05,scoef,AT5G52630,AT5G52630,2,AT5G52630;AT5G52640,
Chr5,17727960,1,5409,5408,0.005975,0.082753606,3.4902291,3.6275036e-05,scoef,AT5G44050,AT5G44050,1,AT5G44050,
Chr1,18028679,2,766,764,0.004015,0.084535755,3.4899297,3.6335805e-05,scoef,,,0,,
Chr3,2099368,1,868,867,0.004015,0.11153293,3.4885356,3.6619385e-05,scoef,AT3G36659,AT3G36659,2,AT3G36659;AT3G66658,
Chr5,6439025,1,234,233,0.00147,0.082898006,3.4881697,3.668883e-05,scoef,,,0,,
Chr5,15210289,1,338,337,0.00702875,0.0987909,3.4877706,3.675249e-05,scoef,AT5G38110,AT5G38110,1,AT5G38110,
Chr5,15211178,1384,1,1383,0.00702875,0.0987909,3.4877706,3.675249e-05,scoef,AT5G38110,AT5G38110,2,AT5G38110;AT5G38120,
Chr1,14232768,8232,8726,494,0.0042375,0.07923405,3.4875357,3.680458e-05,scoef,,,0,,
Chr5,4003794,1,7005,7004,0.0013825,0.08107629,3.487425,3.6833517e-05,scoef,AT5G12360,AT5G12360,2,AT5G12360;AT5G12370,
Chr3,18040639,1,1457,1456,0.003515,0.108604975,3.487163,3.6894282e-05,scoef,AT3G48700,AT3G48700,2,AT3G48700;AT3G48710,
Chr3,11874608,1434,8561,7127,0.00363125,0.11540622,3.4862719,3.7099733e-05,scoef,AT3G30220,AT3G30220,1,AT3G30220,
Chr1,19218035,351,1764,1413,0.00432625,0.08230288,3.4857602,3.719233e-05,scoef,AT1G51800,AT1G51800,1,AT1G51800,
Chr1,21932078,3746,8801,5055,0.00451375,0.08438664,3.4842532,3.7548252e-05,scoef,AT1G59670,AT1G59670,5,AT1G59670;AT1G59675;AT1G59680;AT1G59690;AT1G59700,
Chr1,13128835,1,5133,5132,0.00442,0.10976607,3.483899,3.7620594e-05,scoef,,,0,,
Chr4,7275395,1,372,371,0.00674375,0.10380566,3.4836717,3.765821e-05,scoef,AT4G12170,AT4G12170,1,AT4G12170,
Chr4,7278345,1,73,72,0.00674375,0.10380566,3.4836717,3.765821e-05,scoef,AT4G12190,AT4G12190,1,AT4G12190,
Chr2,6813741,1,323,322,0.09644375,0.1774281,3.4826224,3.7944683e-05,scoef,AT2G15620,AT2G15620,2,AT2G15620;AT2G15630,
Chr1,21335819,1,1931,1930,0.0042525,0.082037665,3.4812274,3.824852e-05,scoef,AT1G57600,AT1G57600,2,AT1G57600;AT1G57610,
Chr3,9774443,1,81,80,0.0036825,0.10942144,3.4803586,3.839031e-05,scoef,,,0,,
Chr3,6012441,1,15176,15175,0.003785,0.11846563,3.4782798,3.8954575e-05,scoef,AT3G17570,AT3G17570,1,AT3G17570,
Chr4,5986773,1,96,95,0.005225,0.09088317,3.4778895,3.9064536e-05,scoef,,,0,,
Chr1,10587120,1,97,96,0.00420125,0.07853237,3.47716,3.92179e-05,scoef,AT1G30120,AT1G30120,2,AT1G30120;AT1G30130,
Chr4,956597,1,353,352,0.00612125,0.1011074,3.4763813,3.942335e-05,scoef,AT4G02160,AT4G02160,2,AT4G02160;AT4G02170,
Chr5,20201130,1,1048,1047,0.0479825,0.15954524,3.4755034,3.9657738e-05,scoef,AT5G49720,AT5G49720,2,AT5G49720;AT5G49730,
Chr4,6395149,1,301,300,0.005265,0.08984727,3.4742224,3.9987615e-05,scoef,AT4G10310,AT4G10310,1,AT4G10310,
