block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir,fdr,bonferroni
3_1591,1,0,1.732603245595869,1.0,0.2487312620629109,Chr3,14940066.0,0,1,14940066,1,-0.052883953,down-in-warm,0.9490370323184649,False
1_3132,1,0,1.7325535012549256,1.0,0.248743867920647,Chr1,21886074.0,1,0,21886074,53,0.30337724,up-in-warm,0.9490370323184649,False
1_4600,3,0,1.7964015221689704,1.0,0.2488160639754326,Chr1,25891615.0,2,1,25891615,1,0.07577707,up-in-warm,0.9490370323184649,False
1_1994,4,0,1.8278990782416933,1.0,0.2489176046499763,Chr1,12193697.5,2,2,12194458,1623,-0.009867944,down-in-warm,0.9490370323184649,False
3_2947,2,0,1.7639724408119182,1.0,0.2489215385413781,Chr3,19075525.0,1,1,19075524,55,-0.09673836,down-in-warm,0.9490370323184649,False
4_2466,2,0,1.7632195032433515,1.0,0.2491118407506671,Chr4,11931142.5,1,1,11931436,1,0.019292962,up-in-warm,0.9490370323184649,False
3_1316,2,0,1.7631716162095736,1.0,0.2491239466398747,Chr3,10695147.0,2,0,10695236,1,0.067253076,up-in-warm,0.9490370323184649,False
1_216,10,0,2.015787678572837,1.0,0.2492168010439446,Chr1,1601269.0,6,4,1601269,1,0.016012993,up-in-warm,0.9490370323184649,False
1_623,3,0,1.7945497726877246,1.0,0.2492826185278022,Chr1,5424122.0,0,3,5424122,1,-0.06974209,down-in-warm,0.9490370323184649,False
5_1252,2,0,1.7622005840186663,1.0,0.2493694920259039,Chr5,15909219.5,1,1,15909278,206,0.01218614,up-in-warm,0.9490370323184649,False
1_4046,23,1,2.410765056181952,0.2063857163563446,0.2494919440616885,Chr1,23950643.0,9,14,23951548,68,-0.015994104,down-in-warm,0.9490370323184649,False
1_2601,3,0,1.7933723690758543,1.0,0.2495795110791088,Chr1,18957286.0,1,2,18957286,290,0.04218282,up-in-warm,0.9490370323184649,False
5_1708,2,0,1.7610121701609764,1.0,0.2496701818036497,Chr5,17338934.5,0,2,17338691,308,-0.14298603,down-in-warm,0.9490370323184649,False
4_2337,61,3,3.4612685031087995,0.0234082958540651,0.2497305292687346,Chr4,11144558.0,27,34,11144558,2205,-0.011379121,down-in-warm,0.9490370323184649,False
1_3003,3,0,1.7926692290462731,1.0,0.249756903494984,Chr1,21579591.0,2,1,21578067,1,0.055187423,up-in-warm,0.9490370323184649,False
1_2664,4,0,1.8244511610612948,1.0,0.2497841066009081,Chr1,19198476.0,1,3,19198476,1,-0.04532092,down-in-warm,0.9490370323184649,False
2_663,1,0,1.727099808523514,1.0,0.2501279647485476,Chr2,6016602.0,1,0,6016602,351,0.30761075,up-in-warm,0.9490370323184649,False
2_1652,5,0,1.8544737150194603,1.0,0.250225023645062,Chr2,16233258.0,2,3,16221321,52,0.033718124,up-in-warm,0.9490370323184649,False
1_1478,1,0,1.7265656246747534,1.0,0.2502637550047655,Chr1,9836151.0,0,1,9836151,1329,-0.10600174,down-in-warm,0.9490370323184649,False
1_3943,1,0,1.7262805653648223,1.0,0.2503362334583884,Chr1,23687408.0,1,0,23687408,288,0.21789274,up-in-warm,0.9490370323184649,False
3_524,77,7,3.8536306683737007,1.3039090408277322e-05,0.2503621342004346,Chr3,5192089.0,40,37,5136520,1,0.02727655,up-in-warm,0.9490370323184649,False
1_3532,2,0,1.7570624409707942,1.0,0.2506709152705433,Chr1,22602629.0,0,2,22602784,1,-0.076346815,down-in-warm,0.9490370323184649,False
5_2592,38,2,2.8391464850668764,0.0554547523593632,0.2507772814654815,Chr5,22310227.0,20,18,22310557,1,0.0071928627,up-in-warm,0.9490370323184649,False
4_1758,18,1,2.254954305880281,0.1654862385499125,0.2508569595669454,Chr4,9654592.0,9,9,9654783,1,0.016049812,up-in-warm,0.9490370323184649,False
1_4952,61,4,3.4559279919176853,0.0033162975277275,0.250882252523837,Chr1,27409103.0,26,35,27409103,14271,-0.0070526106,down-in-warm,0.9490370323184649,False
4_1582,5,0,1.851129905308753,1.0,0.2510650029958839,Chr4,9274185.0,1,4,9274185,1,-0.050398123,down-in-warm,0.9490370323184649,False
4_312,11,0,2.0391775100988525,1.0,0.2511232133917281,Chr4,2759539.0,3,8,2759539,1,-0.037507568,down-in-warm,0.9490370323184649,False
1_4156,1,0,1.722111656137828,1.0,0.25139747982867,Chr1,24206546.0,1,0,24206546,457,0.2718153,up-in-warm,0.9490370323184649,False
2_99,9,0,1.975647648170592,1.0,0.2514233720471215,Chr2,273311.0,6,3,273311,1,0.040759362,up-in-warm,0.9490370323184649,False
1_3362,1,0,1.7193828881123057,1.0,0.2520934062942966,Chr1,22330685.0,1,0,22330685,2,0.13256162,up-in-warm,0.9490370323184649,False
3_172,1,0,1.7191920386284285,1.0,0.2521421172468773,Chr3,1838940.0,1,0,1838940,1,0.3200276,up-in-warm,0.9490370323184649,False
3_344,1,0,1.7191920386284285,1.0,0.2521421172468773,Chr3,3316025.0,1,0,3316025,1,0.3200276,up-in-warm,0.9490370323184649,False
1_3219,1,0,1.7185931491469573,1.0,0.2522950054130449,Chr1,22005465.0,0,1,22005465,77,-0.12001604,down-in-warm,0.9490370323184649,False
4_463,2,0,1.7478614656203642,1.0,0.2530103584371453,Chr4,5712032.5,2,0,5713717,187,0.09550624,up-in-warm,0.9490370323184649,False
5_1990,1,0,1.7155194091362462,1.0,0.2530804570712333,Chr5,17951350.0,1,0,17951350,105,0.08473928,up-in-warm,0.9490370323184649,False
5_649,12,0,2.0616310707694057,1.0,0.2532298998603889,Chr5,8024937.0,3,9,8024937,1,-0.040541578,down-in-warm,0.9490370323184649,False
2_2166,17,0,2.214814132345143,1.0,0.2532365140667493,Chr2,19415782.0,9,8,19415782,1,0.028975425,up-in-warm,0.9490370323184649,False
1_1276,3,0,1.7783762305865107,1.0,0.25337729260219,Chr1,8988677.0,1,2,8988677,1,0.016691953,up-in-warm,0.9490370323184649,False
5_736,14,1,2.122108443441059,0.1312541872310217,0.2535088304750719,Chr5,8713366.0,7,7,8714028,1,0.04805923,up-in-warm,0.9490370323184649,False
5_2835,7,1,1.90347627763622,0.06793465209301,0.253784340599866,Chr5,23805791.0,5,2,23805791,1,0.041356582,up-in-warm,0.9490370323184649,False
1_4977,62,5,3.4666784053495334,0.0004029577704085,0.2540750444033745,Chr1,27677699.5,45,17,27712279,1,0.04099987,up-in-warm,0.9490370323184649,False
3_984,15,0,2.150275627921553,1.0,0.2541148687772192,Chr3,9059285.0,8,7,9066080,1,0.060505882,up-in-warm,0.9490370323184649,False
3_3399,1,0,1.7111960696629231,1.0,0.2541873998510148,Chr3,23356118.0,1,0,23356118,2,0.31952104,up-in-warm,0.9490370323184649,False
5_1627,4,1,1.8069386049892828,0.03940399,0.2542098274991554,Chr5,16849659.5,4,0,16849664,1,0.044666093,up-in-warm,0.9490370323184649,False
2_616,11,0,2.0264051834883468,1.0,0.2542859675670785,Chr2,4894132.0,3,8,4890740,64,0.00034247068,up-in-warm,0.9490370323184649,False
4_701,112,6,4.600167085245026,0.0009694536455799,0.254343668121877,Chr4,6810422.0,43,69,6807513,2807,-0.004060741,down-in-warm,0.9490370323184649,False
3_3095,2,0,1.7419582205600768,1.0,0.2545173470997357,Chr3,20433567.0,2,0,20433456,1,0.07193844,up-in-warm,0.9490370323184649,False
3_3193,10,1,1.9939446574329065,0.0956179249911955,0.2546333875892719,Chr3,21931421.0,4,6,21939448,1,0.020448018,up-in-warm,0.9490370323184649,False
5_1136,2,0,1.7410544657008138,1.0,0.254748473289613,Chr5,15374780.0,0,2,15374780,1,-0.12698627,down-in-warm,0.9490370323184649,False
4_135,1,0,1.7089750023999624,1.0,0.2547570649839765,Chr4,1153729.0,0,1,1153729,1,-0.07434233,down-in-warm,0.9490370323184649,False
5_2244,1,0,1.7087126269497943,1.0,0.2548244038417826,Chr5,19685418.0,0,1,19685418,52,-0.10495574,down-in-warm,0.9490370323184649,False
1_4126,11,1,2.022844112843171,0.1046617457412836,0.255171487844724,Chr1,24086283.0,9,2,24086283,1,0.06634286,up-in-warm,0.9490370323184649,False
4_344,39,2,2.847603839853874,0.0580746588856657,0.2552610852865729,Chr4,3334829.0,13,26,3318599,82,-0.0014080652,down-in-warm,0.9490370323184649,False
4_2127,5,1,1.8342701731599724,0.0490099501,0.2553228608010432,Chr4,10582623.0,1,4,10582623,1,-0.0644925,down-in-warm,0.9490370323184649,False
5_1250,8,0,1.9286381425051928,1.0,0.2553498138564439,Chr5,15907406.0,6,2,15907565,1,0.03395362,up-in-warm,0.9490370323184649,False
3_1783,1,0,1.7065395778747952,1.0,0.2553824764719592,Chr3,15911676.0,0,1,15911676,1,-0.099242635,down-in-warm,0.9490370323184649,False
5_2946,11,1,2.021705381262886,0.1046617457412836,0.2554549925572469,Chr5,24646234.0,7,4,24646234,1,0.07737616,up-in-warm,0.9490370323184649,False
1_3547,75,5,3.781469127988241,0.0009656591105073,0.255466195922634,Chr1,22619783.0,38,37,22619743,2633,0.0086111035,up-in-warm,0.9490370323184649,False
4_2190,1,0,1.7028064575247377,1.0,0.256342688666396,Chr4,10734900.0,0,1,10734900,2,-0.104999386,down-in-warm,0.9490370323184649,False
3_2442,1,0,1.7022517792991447,1.0,0.2564855202665738,Chr3,17308496.0,1,0,17308496,61,0.1466542,up-in-warm,0.9490370323184649,False
3_642,5,0,1.829393782443246,1.0,0.2565613737298775,Chr3,7094153.0,3,2,7094153,1,0.0806777,up-in-warm,0.9490370323184649,False
1_1455,102,4,4.383929724302786,0.019606406326102,0.256581894297327,Chr1,9773971.0,46,56,9755740,332,0.0135452235,up-in-warm,0.9490370323184649,False
1_3152,7,0,1.8916244192706573,1.0,0.2567715342921781,Chr1,21902255.0,3,4,21902506,1,-0.025760561,down-in-warm,0.9490370323184649,False
4_34,4,0,1.796851420232749,1.0,0.2567775695927227,Chr4,137935.0,1,3,137291,83,-0.04408647,down-in-warm,0.9490370323184649,False
3_1777,2,0,1.732892477133216,1.0,0.2568407868024123,Chr3,15904151.5,0,2,15904935,1,-0.07842426,down-in-warm,0.9490370323184649,False
2_1754,2,0,1.7325668924827569,1.0,0.2569244350468272,Chr2,16917355.0,2,0,16917355,394,0.098514035,up-in-warm,0.9490370323184649,False
1_3927,4,1,1.796133394865984,0.03940399,0.256960859797698,Chr1,23655557.0,1,3,23655557,1,-0.023063958,down-in-warm,0.9490370323184649,False
3_2183,2,0,1.7318014664386532,1.0,0.257121141858233,Chr3,16824215.0,1,1,16824215,1,-0.01817859,down-in-warm,0.9490370323184649,False
3_2430,1,0,1.6983617854403856,1.0,0.2574883711739496,Chr3,17279767.0,0,1,17279767,103,-0.16023993,down-in-warm,0.9490370323184649,False
1_1508,99,9,4.315665121000315,7.69913409026353e-07,0.257526334867999,Chr1,10015778.0,41,58,10021414,548,-0.008043414,down-in-warm,0.9490370323184649,False
4_2571,2,0,1.7298942121031038,1.0,0.2576116275644924,Chr4,12643163.5,2,0,12642739,1,0.14244398,up-in-warm,0.9490370323184649,False
2_982,1,0,1.6972823949548062,1.0,0.2577670015262751,Chr2,9898011.0,0,1,9898011,1,-0.16207093,down-in-warm,0.9490370323184649,False
1_580,1,0,1.697161561787509,1.0,0.2577982027447743,Chr1,4896678.0,1,0,4896678,60,0.19701973,up-in-warm,0.9490370323184649,False
1_3626,22,2,2.345652631834912,0.0202292794522771,0.2579708447672399,Chr1,22766712.0,10,12,22766712,1,-0.010670126,down-in-warm,0.9490370323184649,False
1_1074,3,0,1.7591609767149323,1.0,0.2582876047028225,Chr1,8163231.0,0,3,8163265,528,-0.07877945,down-in-warm,0.9490370323184649,False
5_875,8,1,1.9166914910534136,0.0772553055720799,0.258361182534579,Chr5,10295947.0,6,2,10295947,1,0.0014116913,up-in-warm,0.9490370323184649,False
4_1141,10,0,1.978479449085712,1.0,0.2585053710016692,Chr4,8086619.0,8,2,8086619,1,0.07213581,up-in-warm,0.9490370323184649,False
3_872,69,4,3.619879179023057,0.0051589566372716,0.2588263728224524,Chr3,8556248.0,32,37,8556248,273,0.0010004662,up-in-warm,0.9490370323184649,False
3_1337,12,2,2.038775389391696,0.0061745377728247,0.2589114997340925,Chr3,10724500.0,5,7,10724500,1,0.0017552301,up-in-warm,0.9490370323184649,False
2_768,25,2,2.42982906251436,0.0257591053990485,0.2590832240822016,Chr2,7057984.0,15,10,7057984,1,0.03445579,up-in-warm,0.9490370323184649,False
1_1236,2,0,1.7240971187985124,1.0,0.2591054345453705,Chr1,8930406.0,1,1,8927583,5638,0.01761398,up-in-warm,0.9490370323184649,False
5_241,15,1,2.129984012032692,0.1399416453587116,0.2591192688600165,Chr5,1482649.0,9,6,1482649,1,0.020196533,up-in-warm,0.9490370323184649,False
2_1656,1,0,1.6920028406819914,1.0,0.2591320998619379,Chr2,16244134.0,1,0,16244134,1,0.112505175,up-in-warm,0.9490370323184649,False
4_1586,7,1,1.882268929168754,0.06793465209301,0.2591423936258814,Chr4,9284550.0,3,4,9283769,648,0.022098979,up-in-warm,0.9490370323184649,False
3_613,38,1,2.8026575073923405,0.317445404989613,0.2591864966216046,Chr3,6728359.0,18,20,6729488,1,0.026316335,up-in-warm,0.9490370323184649,False
2_1458,26,0,2.4580136388043945,1.0,0.2593676546375618,Chr2,13866523.0,17,9,13866523,1,0.03639216,up-in-warm,0.9490370323184649,False
1_2751,7,0,1.880920630021366,1.0,0.2594850089542773,Chr1,19637906.0,3,4,19635488,118,-0.033149574,down-in-warm,0.9490370323184649,False
5_2103,1,0,1.6904327602299816,1.0,0.2595387846830175,Chr5,18294726.0,1,0,18294726,1,0.12828079,up-in-warm,0.9490370323184649,False
4_2047,10,0,1.974372083871776,1.0,0.2595388224553014,Chr4,10281495.5,2,8,10282257,104,-0.03702288,down-in-warm,0.9490370323184649,False
5_2844,1,0,1.690194553670883,1.0,0.2596005141197874,Chr5,23826625.0,0,1,23826625,1,-0.09415291,down-in-warm,0.9490370323184649,False
5_2894,1,0,1.6901636003448632,1.0,0.2596085359976835,Chr5,23951935.0,0,1,23951935,2,-0.09414582,down-in-warm,0.9490370323184649,False
1_43,16,2,2.1583257705220023,0.0109328921625182,0.2596433507056922,Chr1,246488.0,9,7,244926,54,-0.0032100193,down-in-warm,0.9490370323184649,False
1_70,7,0,1.8799705263336324,1.0,0.2597265795538099,Chr1,463764.0,7,0,463764,1,0.05556023,up-in-warm,0.9490370323184649,False
1_3761,4,0,1.785263343628637,1.0,0.2597439484904371,Chr1,23038047.5,1,3,23040231,1,-0.054809377,down-in-warm,0.9490370323184649,False
2_2169,1,0,1.6893879640958818,1.0,0.259809592011156,Chr2,19671070.0,1,0,19671070,53,0.08447218,up-in-warm,0.9490370323184649,False
5_2117,1,0,1.68924073279687,1.0,0.2598477655410586,Chr5,18377878.0,1,0,18377878,1,0.12806815,up-in-warm,0.9490370323184649,False
2_372,11,0,2.003693242307816,1.0,0.2599611875099907,Chr2,1065789.0,6,5,1065790,86,0.024392616,up-in-warm,0.9490370323184649,False
1_484,14,1,2.095513880217068,0.1312541872310217,0.260089710533427,Chr1,3994457.0,6,8,3994457,1,0.0036736813,up-in-warm,0.9490370323184649,False
2_702,15,0,2.1259107503679173,1.0,0.2601299387934387,Chr2,6308509.0,8,7,6306217,109,0.08821959,up-in-warm,0.9490370323184649,False
2_647,1,0,1.688022864160637,1.0,0.2601636404741771,Chr2,5597555.0,1,0,5597555,1,0.14888889,up-in-warm,0.9490370323184649,False
3_1141,4,0,1.783394860027886,1.0,0.2602239034139498,Chr3,10050244.0,0,4,10050216,54,-0.07067988,down-in-warm,0.9490370323184649,False
2_182,1,0,1.6870932644485344,1.0,0.2604048810845588,Chr2,588428.0,0,1,588428,1,-0.1544962,down-in-warm,0.9490370323184649,False
3_2829,2,0,1.7188635014477416,1.0,0.2604578804394846,Chr3,18810277.0,2,0,18810305,504,0.14252633,up-in-warm,0.9490370323184649,False
1_1151,29,1,2.540098735659011,0.2528279056684038,0.2606452421731542,Chr1,8472327.0,14,15,8471681,321,0.0023406814,up-in-warm,0.9490370323184649,False
3_3326,1,0,1.6841882465171978,1.0,0.261159504813949,Chr3,23084954.0,0,1,23084954,1,-0.068878576,down-in-warm,0.9490370323184649,False
3_1589,2,0,1.7160653241047572,1.0,0.2611824603922299,Chr3,14936867.5,1,1,14936680,65,0.124553874,up-in-warm,0.9490370323184649,False
3_0,24,3,2.390852050284783,0.001729426847026,0.2613818910464751,Chr3,23699.0,14,10,355,283,0.02267238,up-in-warm,0.9490370323184649,False
1_3481,1,0,1.6828816735135714,1.0,0.2614992735749981,Chr1,22572548.0,1,0,22572548,1,0.087802485,up-in-warm,0.9490370323184649,False
3_3100,26,2,2.448457127579548,0.0277233007510665,0.2616685725016907,Chr3,20527084.0,9,17,20504214,203,0.010113771,up-in-warm,0.9490370323184649,False
4_792,3,0,1.7448511050851816,1.0,0.2619761646335297,Chr4,7245439.0,1,2,7245439,121,-0.059916213,down-in-warm,0.9490370323184649,False
5_1674,3,1,1.7445442940042988,0.029701,0.2620555439720131,Chr5,17236602.0,1,2,17236602,107,-0.003016771,down-in-warm,0.9490370323184649,False
1_179,1,0,1.680234013232892,1.0,0.2621884816325186,Chr1,1243263.0,1,0,1243263,59,0.3245097,up-in-warm,0.9490370323184649,False
1_763,31,3,2.5909536706985774,0.0036460122088162,0.2622780759155702,Chr1,7034975.0,15,16,7029467,1,0.0413698,up-in-warm,0.9490370323184649,False
4_345,28,0,2.503906328961627,1.0,0.2623651500619135,Chr4,3368789.0,16,12,3379175,85,0.023967296,up-in-warm,0.9490370323184649,False
1_4550,3,0,1.7429708932465442,1.0,0.2624628138790267,Chr1,25486578.0,2,1,25486558,2,0.069244646,up-in-warm,0.9490370323184649,False
1_2659,1,0,1.6785994183995718,1.0,0.2626144444912918,Chr1,19184027.0,0,1,19184027,1,-0.1307799,down-in-warm,0.9490370323184649,False
4_1512,1,0,1.6782233757454388,1.0,0.2627124884002771,Chr4,9094966.0,1,0,9094966,1,0.20879829,up-in-warm,0.9490370323184649,False
1_4658,6,0,1.8364486038222736,1.0,0.2628190041687114,Chr1,26144853.0,2,4,26144853,202,-0.04228869,down-in-warm,0.9490370323184649,False
3_569,8,1,1.89836333357834,0.0772553055720799,0.2630166403412632,Chr3,5994009.0,6,2,5994009,1,0.03910439,up-in-warm,0.9490370323184649,False
4_1537,11,0,1.9912024958471992,1.0,0.2631099650407716,Chr4,9131111.0,4,7,9131111,1,-0.016389804,down-in-warm,0.9490370323184649,False
1_2015,49,3,3.085995632271896,0.0130840049662083,0.2632875072929286,Chr1,12389064.0,22,27,12389038,437,0.0037722648,up-in-warm,0.9490370323184649,False
1_1992,213,7,6.005884538868083,0.0060160298755272,0.2633377756574978,Chr1,12163175.0,95,118,12164749,53,-0.0038228335,down-in-warm,0.9490370323184649,False
4_74,197,7,5.849869160329405,0.0039578149944764,0.2633987095599146,Chr4,557603.0,82,115,553526,4514,-0.005496721,down-in-warm,0.9490370323184649,False
3_1285,2,0,1.7073911710256342,1.0,0.2634351716616023,Chr3,10623530.5,1,1,10623542,62,0.071165055,up-in-warm,0.9490370323184649,False
4_1201,2,1,1.7068318646499567,0.0199,0.2635807653502584,Chr4,8199213.0,1,1,8199156,80,-0.012021,down-in-warm,0.9490370323184649,False
5_2347,1,0,1.674078604800836,1.0,0.2637943751124261,Chr5,20264585.0,1,0,20264585,753,0.16640738,up-in-warm,0.9490370323184649,False
4_954,1,0,1.6733353556822097,1.0,0.2639886212866997,Chr4,7863313.0,1,0,7863313,68,0.31537175,up-in-warm,0.9490370323184649,False
1_4688,24,3,2.3799658923122307,0.001729426847026,0.2640291166779374,Chr1,26191615.5,14,10,26185965,1,0.021523006,up-in-warm,0.9490370323184649,False
3_1893,1,0,1.6731098541227776,1.0,0.2640475699275122,Chr3,16371687.0,1,0,16371687,98,0.10490379,up-in-warm,0.9490370323184649,False
2_716,14,1,2.079436308364012,0.1312541872310217,0.2641104308516273,Chr2,6393013.0,9,5,6393397,2,0.025749538,up-in-warm,0.9490370323184649,False
4_1120,5,0,1.79942454431189,1.0,0.2642411543039371,Chr4,8068135.0,1,4,8067890,1,-0.04901733,down-in-warm,0.9490370323184649,False
5_2292,12,0,2.017224920127062,1.0,0.2643284198858475,Chr5,20059732.0,5,7,20061269,1,-0.013879263,down-in-warm,0.9490370323184649,False
5_459,35,5,2.695914500216861,2.5278422335681144e-05,0.2644254770884016,Chr5,5435058.0,18,17,5419374,1,0.0261798,up-in-warm,0.9490370323184649,False
1_1625,1,0,1.6716000749233113,1.0,0.264442415876458,Chr1,10959419.0,1,0,10959419,56,0.3209929,up-in-warm,0.9490370323184649,False
4_3024,1,0,1.6709638824007396,1.0,0.2646088864680821,Chr4,18073600.0,0,1,18073600,1,-0.073925205,down-in-warm,0.9490370323184649,False
1_1854,1,0,1.6703790092357906,1.0,0.2647619754946284,Chr1,11478678.0,0,1,11478678,61,-0.08489662,down-in-warm,0.9490370323184649,False
5_661,26,1,2.434777789088358,0.2299568541948449,0.2649802741799973,Chr5,8063350.0,19,7,8063350,543,0.055698797,up-in-warm,0.9490370323184649,False
4_2192,31,1,2.5789750481272185,0.2676966303456026,0.2651403319879688,Chr4,10742962.0,15,16,10741885,62,0.012527501,up-in-warm,0.9490370323184649,False
1_157,1,0,1.668920218925258,1.0,0.2651440061947904,Chr1,927969.0,0,1,927969,80,-0.10627557,down-in-warm,0.9490370323184649,False
2_605,1,0,1.6687530339971526,1.0,0.2651878067666023,Chr2,4197832.0,1,0,4197832,663,0.18737808,up-in-warm,0.9490370323184649,False
5_978,4,0,1.763891153866897,1.0,0.2652609373684289,Chr5,14857436.0,2,2,14857436,1,-0.041733153,down-in-warm,0.9490370323184649,False
4_3015,7,0,1.8574308390726784,1.0,0.2654913007377926,Chr4,18034105.0,6,1,18033824,23,0.069181725,up-in-warm,0.9490370323184649,False
1_235,14,2,2.073515624425008,0.0084012440111661,0.2655990280252325,Chr1,2269355.0,8,6,2274672,54,0.02050772,up-in-warm,0.9490370323184649,False
1_1073,42,3,2.885623244849839,0.0085838537997334,0.2657077302118719,Chr1,8145960.0,23,19,8140487,173,0.022066666,up-in-warm,0.9490370323184649,False
4_989,2,0,1.69825791193066,1.0,0.2658177880196728,Chr4,7951132.0,0,2,7951132,1,-0.07154356,down-in-warm,0.9490370323184649,False
3_2401,18,2,2.1937867115894587,0.0137564637408055,0.2658593217394707,Chr3,17242254.0,6,12,17242254,386,-0.02478195,down-in-warm,0.9490370323184649,False
4_2515,41,6,2.8572907859003185,3.3298401557115195e-06,0.265891239373484,Chr4,12122322.0,15,26,12122322,12584,-0.00768619,down-in-warm,0.9490370323184649,False
2_689,9,0,1.916888636313153,1.0,0.26624541659917,Chr2,6246339.0,3,6,6246339,1,-0.016148329,down-in-warm,0.9490370323184649,False
1_519,1,0,1.6635528549849472,1.0,0.2665520272224877,Chr1,4058791.0,1,0,4058791,113,0.31365997,up-in-warm,0.9490370323184649,False
5_932,1,0,1.6634571071057365,1.0,0.266577179057916,Chr5,13708670.0,1,0,13708670,469,0.17618813,up-in-warm,0.9490370323184649,False
1_228,1,0,1.663205335466394,1.0,0.2666433222163094,Chr1,1891869.0,1,0,1891869,1,0.31576553,up-in-warm,0.9490370323184649,False
5_1314,19,1,2.22017272318392,0.1738313761644134,0.2667704023860981,Chr5,16129712.0,12,7,16129649,317,0.033290755,up-in-warm,0.9490370323184649,False
1_380,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,3069084.0,1,0,3069084,1,0.31352836,up-in-warm,0.9490370323184649,False
1_3059,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,21706639.0,1,0,21706639,1,0.31352836,up-in-warm,0.9490370323184649,False
1_2306,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,17169567.0,1,0,17169567,1,0.31352836,up-in-warm,0.9490370323184649,False
1_2874,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,21051568.0,1,0,21051568,1,0.31352836,up-in-warm,0.9490370323184649,False
1_1547,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,10262253.0,1,0,10262253,1,0.31352836,up-in-warm,0.9490370323184649,False
1_5070,1,0,1.6626624334397069,1.0,0.2667859767360946,Chr1,28775252.0,1,0,28775252,1,0.31352836,up-in-warm,0.9490370323184649,False
3_478,1,0,1.6620354837661908,1.0,0.266950763834598,Chr3,3732435.0,0,1,3732435,126,-0.08759218,down-in-warm,0.9490370323184649,False
4_2732,2,0,1.6933024091314268,1.0,0.2671150979168114,Chr4,14941096.5,1,1,14941053,1,0.032683212,up-in-warm,0.9490370323184649,False
3_2879,1,0,1.6613459820370575,1.0,0.2671320514231905,Chr3,18902973.0,1,0,18902973,66,0.17363162,up-in-warm,0.9490370323184649,False
4_1572,1,0,1.6612374345690166,1.0,0.2671605969820734,Chr4,9244934.0,1,0,9244934,1,0.18656425,up-in-warm,0.9490370323184649,False
1_4633,1,0,1.6610236348769671,1.0,0.2672168260270805,Chr1,26118167.0,1,0,26118167,60,0.02697863,up-in-warm,0.9490370323184649,False
5_3018,21,1,2.277551849710328,0.1902721317787416,0.2673589066673116,Chr5,25665544.0,13,8,25666986,358,0.05955531,up-in-warm,0.9490370323184649,False
1_1785,1,0,1.6603307644967344,1.0,0.2673990910824345,Chr1,11371771.0,0,1,11371771,1,-0.09807824,down-in-warm,0.9490370323184649,False
3_2457,1,0,1.66013803915665,1.0,0.2674498001586027,Chr3,17330617.0,0,1,17330617,1,-0.10710176,down-in-warm,0.9490370323184649,False
3_1367,1,0,1.6600700261497976,1.0,0.2674676966109429,Chr3,10899011.0,1,0,10899011,1,0.12402059,up-in-warm,0.9490370323184649,False
3_473,1,0,1.6593240080664249,1.0,0.2676640380662555,Chr3,3712054.0,1,0,3712054,119,0.30918384,up-in-warm,0.9490370323184649,False
3_2914,6,1,1.8166642670795887,0.058519850599,0.2679220839030979,Chr3,18976606.0,3,3,18976606,522,0.004136557,up-in-warm,0.9490370323184649,False
3_1566,1,0,1.6579368169041944,1.0,0.2680293202675432,Chr3,14737910.0,1,0,14737910,64,0.31043312,up-in-warm,0.9490370323184649,False
3_971,1,0,1.6577190148594347,1.0,0.2680866957923387,Chr3,8995825.0,0,1,8995825,278,-0.13833891,down-in-warm,0.9490370323184649,False
5_1468,1,0,1.6575726194519889,1.0,0.2681252641628595,Chr5,16568695.0,1,0,16568695,203,0.17744778,up-in-warm,0.9490370323184649,False
5_1820,8,0,1.8783787024704444,1.0,0.268141269856179,Chr5,17476885.0,5,3,17476836,714,0.022829637,up-in-warm,0.9490370323184649,False
2_1860,10,0,1.940270199974136,1.0,0.2682008152826152,Chr2,17242457.0,2,8,17242457,1,-0.047113154,down-in-warm,0.9490370323184649,False
2_998,19,0,2.2134650479104785,1.0,0.2684407889796175,Chr2,9922422.0,5,14,9922602,1351,-0.013541984,down-in-warm,0.9490370323184649,False
3_2869,1,0,1.6550128369505273,1.0,0.2688000986164975,Chr3,18879438.0,1,0,18879438,1,0.30791685,up-in-warm,0.9490370323184649,False
3_101,1,0,1.654923848379893,1.0,0.2688235739730444,Chr3,1422510.0,1,0,1422510,78,0.3075727,up-in-warm,0.9490370323184649,False
3_1174,1,0,1.654923848379893,1.0,0.2688235739730444,Chr3,10122888.0,1,0,10122888,1,0.3075727,up-in-warm,0.9490370323184649,False
3_3201,1,0,1.654923848379893,1.0,0.2688235739730444,Chr3,22110242.0,1,0,22110242,1,0.3075727,up-in-warm,0.9490370323184649,False
5_2170,2,1,1.6865187878501822,0.0199,0.2688961619785766,Chr5,18900407.5,1,1,18900391,1,0.048342805,up-in-warm,0.9490370323184649,False
